Park2019,parkCode,RecreationalVisits2019,NonRecreationalVisits2019,TotalVisits2019,RecreationVisitorHours2019,NonRecreationVisitorHours2019,VisitorDays2019,ConcessionerLodging2019,ConcessionerCamping2019,TentOvernights2019,RecreationVehicleOvernights2019,BackcountryOvernights2019,MiscellaneousOvernights2019,NonRecreationOvernights2019,TotalRecreationVisits2019,TotalNonRecreationVisits2019,SumOfTotalVisits2019,TotalRecreationVisitorHours2019,TotalNonRecreationVisitorHours2019,TotalVisitorDays2019,TotalConcessionerLodging2019,TotalConcessionerCamping2019,TotalTentOvernights2019,TotalRecreationVehicleOvernights2019,TotalBackcountryOvernights2019,TotalMiscellaneousOvernights2019,TotalNonRecreationOvernights2019
Chaco Culture NHP,CHCU,"48,276","10,560","58,836","605,975","10,560","50,497",0,0,"8,468","6,383",0,"1,436",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Chamizal NMEM,CHAM,"40,416","43,013","83,429","56,330","150,545","4,694",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Channel Islands NP,CHIS,"389,577","5,003","394,580","4,853,182","120,082","404,431",0,0,0,0,"24,306","40,887","7,309","323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Charles Pinckney NHS,CHPI,"32,716",0,"32,716","65,434",0,"5,452",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Charles Young Buffalo Soldiers NM,CHYO,"16,116",0,"16,116","32,332",0,"2,694",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Chattahoochee River NRA,CHAT,"3,200,353",0,"3,200,353","12,801,408",0,"1,066,784",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Chesapeake & Ohio Canal NHP,CHOH,"5,012,743","11,880","5,024,623","10,287,881","11,880","857,323",0,0,"10,868",630,0,"2,901",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Chickamauga & Chattanooga NMP,CHCH,"960,126","2,075,930","3,036,056","1,854,967","311,388","154,580",0,0,0,0,0,"1,836",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Chickasaw NRA,CHIC,"1,411,892","1,626,532","3,038,424","6,124,588","130,124","510,382",0,0,"56,269","44,970",0,"26,076",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Chiricahua NM,CHIR,"57,658","3,600","61,258","322,085","1,200","26,840",0,0,"6,597","5,298",0,"1,340",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Christiansted NHS,CHRI,"106,848",0,"106,848","62,183",0,"5,181",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
City of Rocks NRES,CIRO,"111,680",0,"111,680","390,878",0,"32,573",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Clara Barton NHS,CLBA,"3,575",0,"3,575","3,575",0,297,0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Colonial NHP,COLO,"3,315,734","2,107,597","5,423,331","3,483,844","1,053,799","290,320",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Colorado NM,COLM,"402,759","361,588","764,347","1,388,692","180,794","115,724",0,0,"17,126","17,990",279,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Congaree NP,CONG,"150,760",0,"150,760","632,979",0,"52,748",0,0,0,0,645,"8,390",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Coronado NMEM,CORO,"110,947","2,508","113,455","133,408","1,248","11,117",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cowpens NB,COWP,"217,480",0,"217,480","182,736",0,"15,228",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Crater Lake NP,CRLA,"721,690","49,600","771,290","3,452,393","24,800","287,699","33,966","12,478","4,186",0,"2,488",0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Craters of the Moon NM & PRES,CRMO,"270,980",0,"270,980","786,995",0,"65,582",0,0,"6,125","10,785",73,49,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cumberland Gap NHP,CUGA,"686,457","7,041,420","7,727,877","1,401,295","5,007,977","116,774",0,0,"2,809","10,945",489,143,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cumberland Island NS,CUIS,"50,796",0,"50,796","910,050",0,"75,837",0,0,"21,721",0,"4,186",0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Curecanti NRA,CURE,"831,674",0,"831,674","3,903,435",0,"325,286",0,0,"20,628","42,396",362,"2,858",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Cuyahoga Valley NP,CUVA,"2,237,772",0,"2,237,772","6,590,662",0,"549,221","7,573",0,0,0,0,"1,494",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
